Dataset,Model,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Silhouette Rank,Davies-Bouldin Rank,Calinski-Harabasz Rank,Average Rank
Traditional RFM,K-Means,0.385,0.9094,4943.08,3.0,2.0,1.0,2.0
Refined Behavioural,K-Means,0.4367,0.9358,3793.53,1.0,3.0,2.0,2.0
Traditional RFM,Hierarchical,0.323,0.9026,3748.42,4.0,1.0,3.0,2.6666666666666665
Refined Behavioural,Hierarchical,0.4049,1.0768,3391.38,2.0,4.0,4.0,3.3333333333333335
Refined Behavioural,GMM,0.3018,2.1251,2343.0,5.0,6.0,5.0,5.333333333333333
Traditional RFM,GMM,0.1842,1.5741,1919.84,6.0,5.0,6.0,5.666666666666667
