Bootstrap_Run,Traditional_RFM,Refined_Behavioural,Difference
1,0.3844873906619664,0.4298263457502825,0.04533895508831609
2,0.3824779967330622,0.4312160821142785,0.04873808538121627
3,0.38246395520057247,0.4292158692190246,0.046751914018452134
4,0.38483380721945487,0.4421244057291518,0.05729059850969692
5,0.37960449767470716,0.43509171675867436,0.0554872190839672
6,0.3850574388204174,0.4332504100375154,0.048192971217098035
7,0.38401492526098474,0.43514621088577965,0.05113128562479491
8,0.3884260806707258,0.42486641348754484,0.03644033281681902
9,0.37796281574861346,0.42425834109113103,0.046295525342517574
10,0.3861365416131662,0.43379167334078295,0.04765513172761676
11,0.38445334397077896,0.43631273866949744,0.051859394698718475
12,0.3884313353932333,0.44080123896330453,0.05236990357007121
13,0.38612043440111404,0.4357928051504175,0.049672370749303474
14,0.38487008259738653,0.439328718768268,0.05445863617088148
15,0.3892366372270898,0.44172719132491667,0.05249055409782688
16,0.37953753671207746,0.43800939748617207,0.05847186077409461
17,0.3859855412608594,0.4411542452881085,0.055168704027249105
18,0.3895409935697302,0.43143603808081166,0.04189504451108145
19,0.3847164725789897,0.43543557144623835,0.050719098867248624
20,0.39775741935692194,0.4386058683644853,0.04084844900756335
21,0.3849419757663281,0.4399242047156554,0.054982228949327305
22,0.3832767263821099,0.43002759104907323,0.04675086466696332
23,0.38647934127809835,0.4408081071220291,0.05432876584393076
24,0.3892785910223603,0.4389879105602967,0.04970931953793639
25,0.3847669208464557,0.44050658359363243,0.05573966274717673
26,0.38696083707010315,0.4315505316992217,0.04458969462911855
27,0.3816500976437494,0.44016657977043805,0.05851648212668864
28,0.39947917941071653,0.4415703426475308,0.04209116323681428
29,0.3859749600189386,0.43420385970899245,0.04822889969005384
30,0.3917821010421176,0.43810568292828905,0.04632358188617147
31,0.38931634390157316,0.4336232657777883,0.044306921876215155
32,0.37907452470658587,0.43437630816773726,0.05530178346115139
33,0.3869078679224273,0.44177074681865436,0.05486287889622704
34,0.38713910256351153,0.43083505980892944,0.043695957245417916
35,0.3868615970275522,0.43720466780856265,0.05034307078101047
36,0.3843658071648134,0.43991273731733455,0.05554693015252116
37,0.3841447320303041,0.44051669911715924,0.05637196708685516
38,0.3934346398871545,0.436936678547901,0.043502038660746534
39,0.3823268356159453,0.4378550785580304,0.05552824294208508
40,0.3814460945054398,0.4340557486898922,0.052609654184452403
41,0.3852589765148742,0.42530137916935284,0.04004240265447867
42,0.39261529620203267,0.43725378115847763,0.04463848495644496
43,0.3876518673077366,0.43995049653183405,0.05229862922409745
44,0.3871840729296248,0.4434146537726785,0.05623058084305371
45,0.3811581289838495,0.43921632423599516,0.05805819525214567
46,0.3845405431460806,0.4443459185868713,0.059805375440790676
47,0.39012393088082903,0.4384983969814906,0.048374466100661595
48,0.39081380328758525,0.4391659320257472,0.04835212873816197
49,0.37547031162761785,0.42768562241520275,0.0522153107875849
50,0.3925181162400973,0.4394259381987622,0.046907821958664886
